title,website,operator_address,acc_address,cons_address,percent_power,power,self_stake,fee,blocks_proposed,delegators,power_24_change,governance_votes
Delega Networks♾ ,https://delega.io,cosmosvaloper1uutuwrwt3z2a5z8z3uasml3rftlpmu25aga5c6,cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,9DC4012099BE743189074B85E49891AE3B3FEE9B,0.48,893946.817108,11645,0.1,54038,257,15.01414,26
DACM,,cosmosvaloper16fnz0v4cnv5dpnj0p3gaft2q2kzx8z5hfrx6v5,cosmos16fnz0v4cnv5dpnj0p3gaft2q2kzx8z5hvhj0q8,DEA10B19019A13B17D1AB9CAE17321CDAE3B0487,0.47,880431.9546343012602683,91,0.035,6819,303,98.823609,1
Simply Staking,https://www.simply-vc.com.mt,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,cosmos124maqmcqv8tquy764ktz7cu0gxnzfw54k9cmz5,7B3D01F754DFF8474ED0E358812FD437E09389DC,0.46,851618.3864,15261,0.07,41112,627,-38.636078,26
Cypher Core,,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,cosmos1pjmngrwcsatsuyy8m3qrunaun67sr9x78qhlvr,B0155252D73B7EEB74D2A8CC814397E66970A839,0.46,865803.4873752986146614,13719.8191301397948944,0.1,44026,347,18.0938,25
Swiss Staking,https://swiss-staking.ch,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,cosmos1y0us8xvsvfvqkk9c6nt5cfyu5au5tww28lcvjn,CC87F56B58621811E2B5A47F38C6166E295CE36E,0.43,801970.009244,1,0.01,22667,3924,6.274734,7
01node,https://01node.com,cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,B4E1085F1C9EBB0EA994452CB1B8124BA89BED1A,0.42,779036.280273,20251,0.1,54044,200,12.099857,10
Atomic Wallet,http://atomicwallet.io/,cosmosvaloper1hjadhj9nqzpye2vkmkz4thahhd0z8dh3udhq74,cosmos1hjadhj9nqzpye2vkmkz4thahhd0z8dh3eer4jx,BB76BC6322C7533A7CCD3AF1C089C7B3971FB012,0.4,751889.385596,1,0.1,15483,11654,283.930347,0
AUDIT.one,https://audit.one,cosmosvaloper1udpsgkgyutgsglauk9vk9rs03a3skc62gup9ny,cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,2A5FECF26C3FB43426AC6B3DB58A5ABC5800F2A0,0.4,747839.870887,2600.008547,0.07,23691,2329,459.116328,19
0base.vc,https://0base.vc,cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,cosmos1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ladl29,B31581E9FF571045531370E2D4895A2D6FEDECFB,0.39,729838.381145,40478,0.02,9464,2244,-1438.011454,20
🌐 KysenPool Sky ☁️ ,https://www.kysenpool.io,cosmosvaloper146kwpzhmleafmhtaxulfptyhnvwxzlvm87hwnm,cosmos146kwpzhmleafmhtaxulfptyhnvwxzlvmz2rmlg,9DF8E338C85E879BC84B0AAA28A08B431BD5B548,0.39,720734.5481,4700,0.079,31934,543,15.32,12
ATEAM,nodeateam.com,cosmosvaloper14l0fp639yudfl46zauvv8rkzjgd4u0zk2aseys,cosmos14l0fp639yudfl46zauvv8rkzjgd4u0zk0fyvgr,BAC33F340F3497751F124868F049EC2E8930AC2F,0.38,709875.5526,2.3,0.099,77109,385,-6.73,27
chainflow-cosmos-prodval-01,https://chainflow.io/cosmos,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,cosmos1j0vaeh27t4rll7zhmarwcuq8xtrmvqhughud6h,2C9CCC317FB283D54AC748838A64F29106039E51,0.37,690286.889627,23003.559496,0.12,43739,233,-10.996,12
Skystar Capital,,cosmosvaloper1uhnsxv6m83jj3328mhrql7yax3nge5svrv6t6c,cosmos1uhnsxv6m83jj3328mhrql7yax3nge5svxcw7kt,91C823A744DE50F91C17A46B624EDF8F7150A7DD,0.36,668601.8249300964487309,1500,0.1,37384,93,-10.045999,8
Ztake.org,https://ztake.org/,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,42D6705E716616B4A5442BDAA050B7C6E9FDDE43,0.34,633163.875206998391716,17116.644608,0.07,33816,576,58.492,11
DragonStake,https://dragonstake.io,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,cosmos15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2kc6z4s,C52ACDB32057F5C731BBDD48460B93C3500DD324,0.33,608471.639198,585.980128,0.09,38351,297,22.086115,20
Liqee,https://liqee.io,cosmosvaloper14jlpmqquh0gste6nzf4dn43kc8h50l6fmx6dfs,cosmos14jlpmqquh0gste6nzf4dn43kc8h50l6f7jwc9r,3E51AA882036D7A70F94F3E86416B7601B78DD8C,0.33,622343.6603111010458927,2.0001000093697916,0.03,6366,2712,503.254099,0
OKEx Pool,http://www.okpool.top,cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,cosmos19yy989ka5usws6gsd8vl94y7l6ssgdwsx8yd7t,8E0EE37B7B1A038DD145E30F1EF97DF3619EF429,0.32,606935.442664,0.005,0.1,34096,189,11.4,0
Post Road,,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62,cosmos19rmlxkqjt950fxl849l49x0me56u9tkd38q8ke,D3BC26B1A9DEC8D56B0A3B8ECD23110EC4CD45A7,0.32,606264.241474,0.000001,0.1,195,5,0,0
