delegator,amount,since,delta
cosmos1kxxjtc8x0wjyyfk0ugj3tla2qpppj59x6q4zs4,100,1576022400,0
cosmos1zt365cyq8ljlgc9euhlznc3x7suc9l4tu3ye43,96.992305,1644593172,0
cosmos1tn6vy6ljv2w2mdjasxk07ancl2s5k36pyesqh2,94,1642338001,0
cosmos145unv6y8h3gyu39h4uq0lrqzwa0rss5l4z969g,91.049014,1605929040,0
cosmos1wd6qnydxm3vu7y49nu0qj2m2uknrd48k76frza,90.57411,1635285463,0
cosmos153vvxtckvd7adx5v56f208d3new6flyutswzgj,82.76737,1638479832,0
cosmos107wx3qmft34vy04uaj9mdghvd4t4uf2u4njpe6,76.718665,1594781300,0
cosmos1c9c8xasjfgtmgj09xjhcmw0wt2srfn0ur9vcfu,75,1645540731,0
cosmos1hr779c435u45nzqcdw8vgapuahjnw80ampag0z,70.8,1638159590,0
cosmos1mju837un8mwlwrzmv99mklj6td9nnld2du7zyj,60.193055,1640862720,0
cosmos1aa2ae4wu0avs3kzltwlpzndf54c7kyd38k2qud,60,1635072147,0
cosmos1anjq8hsjkvjwkjhwfcwe2frpf9ez6srzjc0h3t,60,1641132294,0
cosmos18lmng3eczylnp26lg8wacu70rh0g0nw2rgjm7e,56.7,1637479031,0
cosmos1jlxyumqc3aaxy5w23u93em4mdt0eqnx9n9jenn,56.24424,1633662459,0
cosmos146g62029gum2lelejdkakr73f4447pt46vtvdn,55,1632980067,0
cosmos1ful29k9xs92vw53d66ktewcws98qa9n9ck7ny4,54.757497,1576022400,0
cosmos1hwvu0ntrqhlm4aa4sxr6emnxz69t7uuvlu32k6,52.950383,1595163102,0
cosmos1j7jf9y6cyjtznegl8trrhrtdkelqguq6zme8cx,50.334322,1576022400,0
cosmos1zxu4430pzgrv2ngf5267at3dyq37xcnale3qyj,50.227867,1576022400,0
cosmos1ywq8ccjm96a7mdu79zfyllvpsdjljct8cdxa8n,50.143561,1576022400,0
cosmos1pykjsa4tshe40vpzu3wefuhg2ne2hnewtapvsn,50,1643271672,0
cosmos1ky2y0y6unrrrunr5xyrkgr25y6w50wd7gkgn9l,50,1635829788,0
cosmos1dw6ymqsk8u3q7unxng82skhmehcus7u4qlrsq6,50,1576022400,0
cosmos1ql2tzktyc5clwgzp43g60khdrsecl9n8ntjzec,50,1644683683,0
cosmos1djs8najgqle42rrjefk63ns5xc20ymfks2svch,50,1640632012,0
cosmos1c9gs5l5uwmupp78td0vrvneefx6yg5fv6tqp2r,50,1645554868,0
cosmos18kt77nxa77tvnk8h62fpwcruxy37duzk3e7f8h,49.987,1642857331,0
cosmos1j9eydhm4nznw6kklvcm7xt589k63ymzppx4t6a,49.51,1576022400,0
cosmos1jmnedpewzpzwuh8rmlelq6sp82l8fr2tkzc5au,48.663972,1614274357,0
cosmos104t6xppjx4xvvkqucq64858ntserzjgdutrg2s,48.218111,1645295627,0
cosmos1ylpx3gr5pn4zv27hft6eeyuj3w3sw3vl05shde,45.91299,1640304773,0
cosmos10aanjg8h3g8jzzsweempydjqh76j0s483u62d7,45.660255,1576022400,0
cosmos1807x5jwyzsjmltdqqjrccfy5mg0q0jw4kc0ydp,45,1632774634,0
cosmos1xzxva7trymx9qj60jns9wtjc7zlthg0wy7tnug,43.19921,1641447569,0
cosmos1nt4glhsmj8c5m5yzg6dlpawmuggqea0u9sknkj,41.344538,1576022400,0
cosmos1ljnnuj527lrdwz6uafz97wwelf4ry6dxhuya97,40,1641499923,0
cosmos1ay04kzrcyxvevamv4vzauy24z3jecvj3jswwea,40,1576022400,0
cosmos1fyaanwx8jvx4x26s3q6c9yjrm3hefa35h8k4qc,40,1645609061,0
cosmos169rt2da9vu0gy0dfpeuqfuku93gu2xngr7ujkh,40,1641715574,0
cosmos1twkyt4xfgnu5lwkeuvqkep6xhah9rd82etjjzk,40,1634441786,0
cosmos16fygzkuwu5jp38enptyl7t65lu6k5qdxdn2hdk,40,1633219545,0
cosmos1yg93sten48lv682wkqg3jlhzee5wxwftgvt4yp,39.49726,1642725835,0
cosmos1x3zmv95n8knqup3j67azehwvwh2jey76r5prx9,38.685329,1576022400,0
