delegator,amount,since,delta
cosmos1vwuys0qg7vr6k5kxlja3d007rhfz59vu9tlh4d,61.13575,1646169913,61.13575
cosmos1m6xkcx4anz3upnklt348sk0rlwrp626fp7c20e,60,1641591098,0
cosmos1k4g080hyywfmez6qjgcfplqsa0sp4x4xwm7cds,59.97625,1645330120,0
cosmos1tce636krrzh94p99lgvkkld7kaxmcj8p3cqn4d,58,1641822270,0
cosmos18usx6t0szwxuuq5c99yarvgs3avtuztagj485p,56,1645347792,0
cosmos1l3mw3c0ad6j0hzdlk5dw6qn8yuwrjyghgpp2ck,54.15044,1615498933,0
cosmos1c66z0aqxyehr4crn886yf6nvydehd2j38y4qjy,53.315473,1644713466,3.315473
cosmos1j9jxp80f2l8xuftv3e5rk43w92cf9pxv53xs0t,52.812646,1641110895,0
cosmos1gjvast03wa96868cyk7ktvfg22crg6349h3nll,52.73229,1646106456,52.73229
cosmos1g09tqjydmvdsh4a8sr8m4c38a8temph2j5y3uy,52,1633903633,0
cosmos1s5xa4ffezdynzpcj7d5xtrtm6jy52gsqnnhraf,51.98125,1644900760,0
cosmos13eja7xwm9qgysr67nuqws343fy3rx8qywgd087,50.376109,1642392483,0
cosmos1cj2cm4y5aagga7dr5vrlhzhuyfcn90u007m0n2,50,1641792950,0
cosmos18d55cwadsyhxegm8pg8nrw8z9rktlut40uraw9,50,1645351234,0
cosmos19a7gz0j9zrmgtfyc8gtj4kr89alhsu52zn9yj8,50,1642582450,0
cosmos1s9943acpu0qpfypt6kwh26pt93klf6htpyxzaa,50,1621525499,0
cosmos1ueu7v6t7gra7jpehu0cjjyc5ry80jxvldz96wm,50,1641556480,0
cosmos1c6xugv5s9mcwu5jehndy3dvph4kt75jgr898gg,50,1641985754,0
cosmos1cj2cm4y5aagga7dr5vrlhzhuyfcn90u007m0n2,50,1641792950,0
cosmos12lvtpduh739ueju0xkrsg48upv0rttuvfy6pmp,50,1615919258,0
cosmos1y8fnve5hpqt6xejgck08kddgwc4th7njqg28vx,49.9975,1645936839,0
cosmos17updmpyd20dz5e64mapcx4vchdllxxegg2xlzs,49.9,1638685690,0
cosmos1zqcnz0ephhgp6xnmq2znyh2623juhfkujccn8y,49.894,1644508144,0
cosmos1g5na52lgze6g35lx5zl7v8fyk79c47uls9uedg,48.7178,1645559443,0
cosmos182qptx628p64mqg2gmj780uc89m7mcsz3pp40p,48.59175,1635846224,0
cosmos1th4zgu78g625ett0ea0d6rthakjvrz6998hvs2,47.408521,1645735811,0
cosmos1jjmzqqh0we6q9q005pfvn6vlgfjx9fexv3ps3p,46.917348,1643817068,0
cosmos16ydvr598afnzd8n9tjxsk586wrezuftjrrx23x,46.020047,1641903730,0
cosmos1qxvk3jj7cx0svwcrea0p6r7dzzws5mxramgn9a,45.39055,1620474875,0
cosmos1wuxkj58rtf3ckerqrgf5lamd4gsxk3pwavzlqa,45,1606352582,0
cosmos1zqnmm7qtg43c6a4afdjpnc8rjtq5x5vx6a2sn2,45,1605877804,0
cosmos1e4k2zn3w685py4my63nc5w62ult5kgut680u8h,45,1645842808,0
cosmos126ffsy5gv0zmelqa9yrp3hny7ltjeguhgjkr69,44.99125,1642525132,0
cosmos14j5q6a4cda5ad4p6s9h5necfvy2eq05qs25x94,43,1638287709,0
cosmos185w83gfcka5qn544altc6qgj8m9nd3g9yxjgks,41.49375,1620909710,0
cosmos1t086ln56207r94zxn2tlc9zuxk5rnu240ygvmm,40.77792,1643664266,0
cosmos1ha78e290g0u3rsmzntfp8mwjjnns2kcd2yzxmu,40.08875,1641681210,0
cosmos1smevzzaut7al86qjlv95e7wa93fwvl4mf72a9c,40,1645671770,0
cosmos1tszkr23jvu7grukfaf3ssu5tjy8y7mzxhugc27,40,1637202204,0
cosmos1zzlyfspvedm35hk0myra960k6wznmdwa84mc3j,39,1636902725,0
cosmos1n8fnmss3s0e6fl2fn25f5fdza393ssemyaw4yq,38.4565,1638148961,0
cosmos1za34x4r5fq8jmuk6gvsufx5pt5vz2hltqs4rhs,37.955094,1644376497,0
cosmos1qghh7pvwmvppjch783dtfzty8np3adtktkx2jk,37.686208,1642347760,0
cosmos1efneejgsvu3lkw4hfjfnuhvgrl3gyyntn6mxju,36,1641061936,0
cosmos155snthpn64aew23ra94dle7pxqujr5t44k2xfv,35.66395,1644864278,0
cosmos1sn0acvl3xm7n5za83drmh5f8f6xd4al0fk6taq,35.08,1645979545,0
cosmos16rw3mkce64xgeyf950caze7ampk4gv35ungtqn,35,1636038860,0
cosmos1tl5snfsnczkyt42kagq4x5ewq22csh0ytqdwmd,34.98875,1641388051,0
cosmos16xzanu02y52ad8y7fm6j0t7xkvhjrmpquxt6s3,34.68125,1644798063,0
cosmos1vn8puh6uv0ggsyc4ewfmnlhlfwupydcgmm5sdg,34.57,1646058418,0
cosmos1vnzdycgjg9lf37fyd33rr34vp5ru25um9kzvzy,34.341698,1610614375,0
cosmos1dcm9s4spny4wtlyhpkawqsc0q750peflxak62j,33.880566,1643261127,0
cosmos1yvh4z4w02uuu79z42jncnz8h405gqkrvcjj7rn,33.69525,1642159733,0
cosmos1mf8saqwh4gryn8nl4w6ugzsy0um9wkt3rg99ge,33,1646204782,33
cosmos15zuzj2zyt49e85hxgjlf34ay5kptjxk4m9u432,33,1646205977,33
cosmos1wnxwv5kjdd0esxg0g3s8ssjxatmxyt0pl57gfh,33,1646205819,33
cosmos1snhusghpx4u57k7xv9472z2uea9k4k6482fed5,33,1646205892,33
cosmos19xx6egkl3xprynsc60p5nuc7whnkln6p7fqnzl,33,1646206019,33
cosmos1kfenchu3e4lkghm9perwu9jl90rywlxkn4jw3x,33,1646205783,33
cosmos1e7y27lly9xwtgdnddtwntrwddtmdx20k7c3tjj,33,1646205873,33
cosmos1u3eetu0lvmysn9qgj6emsxsdpwahfvtgrhxn4x,33,1646205952,33
cosmos1nvvk2w2n449cz0tjkrgssf43yc8g626uj2qfav,33,1646205847,33
cosmos1mf8saqwh4gryn8nl4w6ugzsy0um9wkt3rg99ge,33,1646204782,33
cosmos1vjy7mdxwnsmrl5njje5uautwcs4q9jpd23ch2g,33,1646206070,33
cosmos1dlzcnqk0dv5lanzppwq9z84zryja6399cjnymm,33,1646206006,33
cosmos1uq8lwacysx8dhtyynl9unm3mv79qukw5ur7px0,33,1646205931,33
cosmos1euwks2yjz2cevmxq3tp9vfq5sadcl3ynxl5fnq,33,1646206092,33
cosmos17uxpyffvgg6get94wfkzmzqxm8w9sx6fvledt6,32.834376,1643072695,0
cosmos1t4ggj4zrp2rvagfuu3uduv900sp05vfjgl9vmq,32.005511,1627708490,0
cosmos1qqq4mq9uldpjxswyff5rl9zu99qdck2kwaskuq,32,1636947626,0
cosmos1lxvvmm0qvtgjwwmhnane0mv3dfve36dup4lk9q,31.903749,1644292995,0
cosmos1cf57tj80dwctwmdynfgyu6zjgkvjmcsjut8d2r,31.90142,1644574475,0
cosmos1tddzlsegkuqrw69h3kkavf9q3vj768pcstphm6,31.39475,1642385795,0
cosmos1yshem6ldflh472jdf2rff5v5cqqcuwzkr9548d,30.98875,1641394351,0
cosmos1mg7wwde8j9hk50ehchlak3q7x5gl8a9l9w7p7s,30.267744,1640845958,0
cosmos1n3czr3hmh3u3dg7nw5w4dx8gx3xndytvyv98yy,30.26,1646205746,30.26
cosmos1ckdyvs4ayh9984trhw6kw03jt3vmfne94r4g7j,30,1646089820,0
cosmos1m29cy2vazusuv72ys5zfpls6mush3gce6kzwlt,30,1638799284,0
cosmos1h869s92z7c05gxs022edh0uc5mp0ahzxvdhf7j,30,1645960352,0
cosmos1y78j7psd4pnr8ausdfhczyvfesdz3z6a5exr2l,30,1629801028,0
cosmos1cy2hjm8jjs9z45rdfmkjn5ft494njhazml3ydq,30,1645212300,0
cosmos1nyandqvclu7sdx3ddnpfsyvwls7fl9sd8lrje5,29.966605,1644063308,0
cosmos1s0zzm88653mlzgavqtvkxtkfjcvzecx5dwd3kn,29.875818,1643701059,0
cosmos1frlac7rn7nmynsmygwfvh6hjhe54jlhk7px3lk,29.4875,1643076311,0
cosmos19tnw6lctkjdjt567k0rwerwu008aj7x78swmge,29,1615239308,0
cosmos1ws3qdpzqtvhacxkm4pycvrmk9wqc8gw6egzt9g,28.994617,1642431985,0
cosmos13gy8rcvwc90ac779zs4ua6rztqv43a87gmcdjc,28.896808,1645661229,0
cosmos1ypgmcn5fv4a29rhc8hkguqtg3gd8xwcnw4965d,28,1642747630,0
cosmos1nj9tnfn7knmnkmvpcax2ln3rvnyx6mhaw5j54y,27.754572,1644975363,0
cosmos1zu2r8zh5hsyenr3692fvhgh4y76rff3vn9z8al,27.594378,1643413062,0
cosmos1z8rwy32r7z0mk2neznskequqarcqggcycdmtxt,27.408219,1643945459,0
cosmos13yn39p4g4f8pgtu6xf5e4qjalgnukrn823840j,27.05735,1645133110,0
cosmos1zmekx0ffrx2vv4rr4f05w9c7wz4l20rvpp979e,26.358956,1645971411,0
cosmos19trnkpelfw0nlyzd0802p7xt0g9njgm6uvd3uk,26,1636992655,0
cosmos15pagxnk6ejp432xu54a570ht3nes0w8u2rw05y,25.673072,1610766750,0
cosmos1zralqkzjcze0yeumcy3nmtzfynk65yyyz5lrcd,25.66,1615634736,0
cosmos1zfkclxhd4443vek7g86nwcq0vce2jf3vwm3pu9,25.61,1633102575,0
cosmos1k3uv28pjsctxeyzu7vpjye02tm77tfnkp2nfvh,25.435059,1640908268,0
cosmos1vgefc5vmcaruy8v7d9jlmt90l8xan35apuswg9,25.197371,1641066544,0
cosmos1d0clgpzplz7kwsmc9n6pphss86ny32sazg6vmv,25.043,1615301572,0
cosmos1rjr8jlwgfalyvf29jvf7tzjmss5vpqjx9tcpzk,25,1641383050,0
cosmos1k0atzrs4fqd3r2wmpx36f87d2emzh464hcdzw2,25,1616067007,0
cosmos13m09e3muv9usad44qw30e5jzq352s8mw74eh8p,25,1617387118,0
cosmos1z3r9zw95qqkfmwsumhrhx9pff9uqhfa7hdnwul,25,1634784302,0
cosmos1sg5w2fn2fes3fdwg8y639rxj2hk2uyg5cazwf0,25,1640355663,0
cosmos16g7rxngf6z0adu0jvremh5q0jqpmuk0enq30tz,25,1614962122,0
cosmos14j2wg02qtm3df2cjplvsdamdlml6mf4tnjxg46,24.98275,1646082331,0
cosmos17s5w2nvfd3e0kduvkh60y8etk7vqtmwvwf6pde,24.571646,1645484359,0
cosmos19fkxn2g2x59yc2nq0e2q7vgp7hgdvh3j5pkrgp,24,1622171472,0
cosmos1q5l60mgds3q5u2s7c79yjeys8ddjjpdxxr643k,23.820979,1646096449,23.820979
cosmos1st2l9ljtpc4j6wjsqr2pcr0evkct56qxyck0pc,23.662839,1629485677,0
cosmos1c5gyuwv4l9d0yfwyf0tlgjdmhx99nmcm2sxc02,23.55225,1641217240,0
cosmos1neewqs6qeg549tea7t3nwr6ck0zk4eswfpzmms,22.62056,1642892480,0
cosmos1ez0zcuurwguln9rlngx6wp86u7s9kfuxz700uh,22.434043,1641896264,0
cosmos1rfdxl5rn3tdghzyhpsjhc9lemysxum7fcu7j7s,22,1646240644,22
cosmos1ue29vpyelrcje0mdwlkway9dz8nkepp3z65dx2,22,1644502805,0
cosmos1fjmx4t5xrnawgr0f93hzrc4svyhk6ey45xkgzu,21.9375,1638818877,0
cosmos1yhq2w595m4n4xt0p9g88psxg6m92qhjmfdklcx,21.5,1608989893,0
cosmos13mxt3622m23mrsyp79edc6x3nja2taeqa0erwg,21,1644563851,0
cosmos1fczchc6u7wx2kr8aveflypc4ej4nw9jvsp4rep,21,1642471817,0
cosmos1qlpumwf608z7ylepzzvwcnnmcxk8fkhl9xhe7t,21,1637589874,0
cosmos1ych962gl0lwh86de6qmmnv7uj05cjpve0xy2c4,20.891964,1635979683,0
cosmos1uehu2ph9uuczsfzr0xg4ft2syhfqu6luqxesq2,20.887955,1645028807,0
cosmos1236n99vxh5jcvwdnd06w24gr7yg9x9c3hqdxyv,20.689052,1644741612,6.87388
cosmos15phqlmwq7fa5scawa8qardvz9qf5tp5ktezdph,20.611972,1642614083,0
cosmos18v8203nlp9k6368rp7rcgpwjrp54kg4ddys8mk,20.5,1631204296,0
cosmos1mh8vpxztq3nnkvv9738mmzy6f34wra58gns2kc,20.026053,1642944094,0
cosmos1n2w44rymvm7x7eufx229fd76xe45rlseedd2j7,20,1646207112,20
cosmos12hzp2clr9339gk4n5szqg6jgyyfvmvsfuau6dk,20,1644376381,0
cosmos18hqykldasq77v7v5htuqs9wc0tykgythym3vkl,20,1643943106,0
cosmos1uujmtqcfempdqjjgc6nakr2vyenmmc55geky52,20,1624900433,0
cosmos1x462gth46n6s06mkmvc80q45w3wd7dasqscucc,20,1641631288,0
cosmos1jcsgpklrtlaaxn7x3mty4wpgdug5tzxyckccqg,20,1645896714,0
cosmos1tamsc2svm0p90yzyqk3cl02k5wwxurfwd3ypm2,20,1642307057,0
cosmos1pr9wyfjapdpu9ax5su9pjsmz54l7fc339hafrr,20,1645883487,0
cosmos1n2w44rymvm7x7eufx229fd76xe45rlseedd2j7,20,1646207112,20
cosmos12hzp2clr9339gk4n5szqg6jgyyfvmvsfuau6dk,20,1644376381,0
cosmos1l7n2ce7t70v79wcgpqm89e5xehlzn744gv04st,20,1635211531,0
cosmos160qacfxn4rjdt64qw9pulxh7f5gkhfv7s8aeht,19.996969,1644477700,0
cosmos1uhr7chtg6u3nvzwawm5tgvd5v5kt6wnrz6ujhz,19.99275,1644204946,0
cosmos1xnsjf6euhjexsk5jccfy8gyzxcv45j9s7n3ngv,19.98875,1641881595,0
cosmos10yxy2jkyez32ymknp3tkz8q3yrv52kr4zrtaq8,19.98875,1643575694,0
cosmos1f7m7m6lyg8l9kjc62u0mg3z65a28umjg0p2mcg,19.98825,1644211655,0
cosmos10q06eulkut0an3scz7arj3ju6n4pgz3ezvxte3,19.930294,1643754991,0
cosmos1vz7x2eespg0047jl7efux6zl8fm6tf5ekt3ku0,19.78014,1642347816,0
cosmos14dzgy6uv8y6mm3hczsvp92e2h92na0mk4k47zd,19.72401,1641629166,0
cosmos1fsvuhxwllmvgltph95l6mavmfewzhv8cva90g8,19.164672,1643882172,0
cosmos1l0rghnwrvvq5w5tcqmwtgqxkuwdkes3l34ykk2,18.96745,1644930465,0
cosmos1jnwdh40sts4jrn593ptnuaqe4jerveczdq4qxm,18.40975,1641957405,0
cosmos14p0x7stwxwweda4w8ql8zxzedka4s4hrjw67l0,18,1645422735,0
