time,value
1576022400,193558531.1564067173863934
1576080000,22.574658
1576083600,2876.68505
1576087200,222.006021
1576090800,1383
1576094400,418.823902
1576098000,3.224523
1576101600,62.78944
1576105200,19.442836
1576108800,388.120028
1576112400,10087.042184
1576116000,758.842347
1576119600,34.30643
1576123200,102.242998
1576126800,548.77217
1576130400,12318.316337
1576134000,3318.173678
1576137600,12387.678449
1576141200,96.126073
1576144800,184.239333
1576148400,2454.371485
1576152000,1603.569285
1576155600,25727.885915
1576159200,185.096151
1576162800,2587.893786
1576166400,717.570928
1576170000,924.026958
1576173600,47.499401
1576177200,4069.347869
1576180800,73.644096
1576184400,10063.794475
1576188000,141.667495
1576191600,260.777492
1576195200,144.779655
1576198800,38689.987877
1576202400,2449.308205
1576206000,677.280198
1576209600,1156.441163
1576213200,6763.700905
1576216800,179.878043
1576220400,5229.053527
1576224000,139.39392
1576227600,1381.14165
1576231200,2647.8837
1576234800,1017.141707
1576238400,164.299676
1576242000,2979.468313
1576245600,1722.877072
1576249200,113788.092337
1576252800,83390.969498
1576256400,3345.766169
1576260000,200472.232716
1576263600,62.770274
1576267200,1526.11835
1576270800,325.155855
1576274400,31.923301
1576278000,12500.217993
1576281600,11014.077074
1576285200,9169.580351
1576288800,30055.946573
1576292400,368.905326
1576296000,377.471854
1576299600,379.890961
1576303200,1279.96956
1576306800,10257.664561
1576310400,602.035494
1576314000,13623.854441
1576317600,10141.005705
1576321200,3426.033913
1576324800,864.560608
1576328400,13681.588208
1576332000,993.35358
1576335600,6282.191656
1576339200,113.681586
1576342800,2753.0989
1576346400,3502.80758
1576350000,4993.642767
1576353600,208.233269
1576357200,1740.081288
1576360800,64.099968
1576364400,13053.941474
1576368000,206.279547
1576371600,89.483965
1576375200,2206.817581
1576378800,12470.05847
1576382400,31088.441184
1576386000,704.826731
1576389600,10839.399043
1576393200,2196.286474
1576396800,423.414469
1576400400,483.477203
1576404000,7638.325649
1576407600,3556.719314
1576411200,9240.435892
1576414800,3381.781129
1576418400,2362.261294
1576422000,1129.933685
1576425600,70.986712
1576429200,131.987046
1576432800,30102.981918
1576436400,1622.126182
1576440000,1018.949047
1576443600,330.771043
1576447200,1620.307592
1576450800,4117.249532
1576454400,140.620307
1576458000,204.507362
1576461600,512.235847
1576465200,27.537243
1576468800,846.357754
1576472400,209.432711
1576476000,919.16308
1576479600,2842.572763
1576483200,289.117443
1576486800,845.915514
1576490400,145.888312
1576494000,200487.240451
1576497600,145.337476
1576501200,3155.358515
1576504800,8507.914102
1576508400,316.734734
1576512000,8802.630816
1576515600,8075.087313
1576519200,1278.774078
1576522800,1249.646101
1576526400,232.873474
1576530000,43.348379
1576533600,104960.119669
1576537200,355.842144
1576540800,575.594502
1576544400,1220.955411
1576548000,6869.542173
1576551600,451.567722
1576555200,1009.51899
1576558800,3374.784661
1576562400,954.472916
1576566000,254.970387
1576569600,40654.075167
1576573200,8142.13185
1576576800,78405.246664
1576580400,6318.152843
1576584000,1039.338486
1576587600,14591.018031
1576591200,2913.222305
1576594800,6228.52402
1576598400,1570.438484
1576602000,4072.459917
1576605600,36193.408018
1576609200,215.497219
1576612800,30.741871
1576616400,4509.757219
1576620000,1822.378308
1576623600,1724.075744
1576627200,171.059215
1576630800,251.023592
1576634400,4173.75402
1576638000,12866.876348
1576641600,9409.18211
1576645200,156.713801
1576648800,12714.822596
1576652400,30128.238132
1576656000,102.489039
1576659600,76.185299
1576663200,79.676473
1576666800,3059.050157
1576670400,213.027722
1576674000,694.603842
1576677600,259.923999
1576681200,8660.895395
1576684800,3295.253964
1576688400,271.614224
1576692000,134.176746
1576695600,159.490694
1576699200,8913.177045
1576702800,2266.637209
1576706400,1585.905779
1576710000,3691.144514
1576713600,2487.035937
1576717200,488.084623
1576720800,2504.259853
1576724400,2283.844266
1576728000,223.38314
1576731600,1421.392403
1576735200,22993.01223
1576738800,801.712862
1576742400,1256.028859
1576746000,3970.968523
1576749600,1484.517697
1576753200,626.007729
1576756800,1496.4676
1576760400,1270.955924
1576764000,192.693851
1576767600,1454.577227
1576771200,195.944626
1576774800,115.0422
1576778400,447.144275
1576782000,4007.935121
1576785600,381.072325
1576789200,552.455313
1576792800,1480.76857
1576796400,4750.301186
1576800000,15405.821511
1576803600,231.816274
1576807200,15250.99438
1576810800,732.514044
1576814400,50428.922992
1576818000,1648.534946
1576821600,1235.399551
1576825200,1478.222075
1576828800,73.082155
1576832400,364.981881
1576836000,15186.255272
1576839600,1073.120451
1576843200,4824.611483
1576846800,85077.123674
1576850400,3789.686373
1576854000,13788.531606
1576857600,11626.64377
1576861200,2391.343805
1576864800,3049.200501
1576868400,4745.475208
1576872000,4887.495752
1576875600,163.377087
1576879200,154.396969
1576882800,1509.626301
1576886400,164.770426
1576890000,33.267062
1576893600,499.781309
1576897200,1104.842547
1576900800,27983.259638
1576904400,757.18753
1576908000,123.106061
1576911600,803.278295
1576915200,368.708953
1576918800,357.34587
1576922400,157.367596
1576926000,55.988798
1576929600,122.105668
1576933200,281.844547
1576936800,5762.517188
1576940400,3287.394465
1576944000,25745.628175
1576947600,2700.381911
1576951200,39.023117
1576954800,3686.348547
1576958400,117.778029
1576962000,266.067284
1576965600,241.799045
1576969200,324.27512
